<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,20180219,174000,138.3500000,138.3500000,138.0000000,138.1200000,322430
GAZP,5,20180219,174500,138.1200000,138.5100000,138.1000000,138.4700000,96800
GAZP,5,20180219,175000,138.4700000,138.5200000,138.3300000,138.4000000,73460
GAZP,5,20180219,175500,138.4000000,138.4700000,138.2700000,138.4600000,41090
GAZP,5,20180219,180000,138.4600000,138.4800000,138.2600000,138.3600000,94240
GAZP,5,20180219,180500,138.3600000,138.3600000,138.1100000,138.2300000,231130
GAZP,5,20180219,181000,138.2300000,138.2300000,138.0000000,138.1500000,119940
GAZP,5,20180219,181500,138.1800000,138.2900000,137.9600000,138.2100000,216900
GAZP,5,20180219,182000,138.2000000,138.2600000,138.0500000,138.2600000,88060
GAZP,5,20180219,182500,138.2600000,138.3600000,138.1800000,138.2100000,107410
GAZP,5,20180219,183000,138.2500000,138.3600000,138.2200000,138.2500000,157700
GAZP,5,20180219,183500,138.2500000,138.4000000,138.2100000,138.3900000,178360
GAZP,5,20180219,184000,138.3900000,138.5000000,138.1500000,138.5000000,403450
GAZP,5,20180219,185000,138.3100000,138.3100000,138.3100000,138.3100000,69540
GAZP,5,20180220,100500,138.7800000,140.1800000,138.7800000,140.0000000,3588980
GAZP,5,20180220,101000,140.0000000,140.4000000,139.5000000,139.6600000,1137130
GAZP,5,20180220,101500,139.6600000,139.9900000,139.5500000,139.8200000,454530
GAZP,5,20180220,102000,139.8200000,139.8800000,139.6500000,139.8100000,234370
GAZP,5,20180220,102500,139.8500000,140.1700000,139.8200000,139.9800000,444390
GAZP,5,20180220,103000,140.0000000,140.7900000,139.9800000,140.7800000,1294410
GAZP,5,20180220,103500,140.7800000,141.8000000,140.7100000,141.7500000,2795240
GAZP,5,20180220,104000,141.8000000,142.4800000,141.7500000,142.2800000,3390190
GAZP,5,20180220,104500,142.2800000,143.8500000,142.2200000,143.6200000,4098090
